2011,5,31,8094970.2066,47
2011,6,1,15394.3298,4
2011,6,2,16588.4572,4
2011,6,3,7907.9768,2
2011,6,4,16588.4572,4
2011,6,5,15815.9536,3
2011,6,6,8680.4804,3
2011,6,7,8680.4804,2
2011,6,8,23105.3072,5
2011,6,9,11664.9658,3
2011,6,10,15815.9536,3
2011,6,11,15618.9542,4
2011,6,12,7907.9768,2
2011,6,13,27677.9188,4
2011,6,14,12409.8444,4
2011,6,15,15815.9536,2
2011,6,16,15618.9542,4
2011,6,17,7683.3524,2
2011,6,18,28253.423,5
2011,6,19,12437.4694,4
2011,6,20,15815.9536,2
2011,6,21,42256.626,7
2011,6,22,16588.4572,3
2011,6,23,11861.9652,2
2011,6,24,12634.4688,4
2011,6,25,19375.9432,5
2011,6,26,30985.659,6
2011,6,27,21862.8284,6
2011,6,28,19545.3176,3
2011,6,29,15914.584,4
2011,6,30,16588.4572,5
2011,7,1,25541849.1297,47
2011,7,2,11861.9652,3
2011,7,3,12409.8444,4
2011,7,4,19375.9432,5
2011,7,5,17360.9608,5
2011,7,6,28056.4236,6
2011,7,7,15815.9536,3
2011,7,8,12437.4694,4
2011,7,9,15366.7048,4
2011,7,10,23302.3066,5
2011,7,11,19769.942,4
2011,7,12,23723.9304,3
2011,7,13,13182.348,5
2011,7,14,15815.9536,4
2011,7,15,23329.9316,4
2011,7,17,3953.9884,1
2011,7,18,23499.306,5
2011,7,19,18905.968,7
2011,7,20,23499.306,4
2011,7,21,30958.034,5
2011,7,22,19545.3176,4
2011,7,23,11637.3408,3
2011,7,24,32010.412,7
2011,7,25,8455.856,3
2011,7,26,27283.92,4
2011,7,27,7907.9768,2
2011,7,28,7907.9768,2
2011,7,29,21862.8284,6
2011,7,30,27283.92,2
2011,7,31,23050.0572,4
2011,8,1,20337040.4185,47
2011,8,2,39539.884,4
2011,8,3,12634.4688,3
2011,8,4,23329.9316,5
2011,8,5,11861.9652,2
2011,8,6,24496.434,5
2011,8,7,16588.4572,4
2011,8,8,11861.9652,3
2011,8,9,27031.6706,5
2011,8,10,11861.9652,2
2011,8,12,7710.9774,2
2011,8,13,9228.3596,4
2011,8,14,19769.942,4
2011,8,15,15815.9536,4
2011,8,16,16588.4572,4
2011,8,17,15421.9548,3
2011,8,18,19769.942,4
2011,8,19,28253.423,6
2011,8,20,7907.9768,2
2011,8,21,24650.3144,6
2011,8,22,23723.9304,4
2011,8,23,24496.434,4
2011,8,24,11861.9652,3
2011,8,25,11861.9652,3
2011,8,26,16588.4572,4
2011,8,27,29995.4296,6
2011,8,28,4726.492,2
2011,8,29,772.5036,1
2011,8,30,39539.884,4
2011,8,31,17165028.0867,58
2011,9,1,11637.3408,3
2011,9,2,15815.9536,4
